Pollutant,Horizon,RMSE_SVR,RMSE_Naive,Improvement_%,Best_C,Best_epsilon,Best_gamma
C6H6(GT),t+12h,0.086873,0.091998,5.57,1,0.01,0.01
C6H6(GT),t+1h,0.048652,0.086853,43.98,1,0.01,0.01
C6H6(GT),t+24h,0.090133,0.111132,18.9,1,0.01,0.01
C6H6(GT),t+6h,0.071126,0.131814,46.04,1,0.01,0.01
CO(GT),t+12h,0.105687,0.105735,0.04,1,0.05,0.01
CO(GT),t+1h,0.057499,0.102942,44.14,1,0.01,0.01
CO(GT),t+24h,0.130291,0.127928,-1.85,10,0.01,0.1
CO(GT),t+6h,0.077144,0.150044,48.59,1,0.01,0.01
NO2(GT),t+12h,0.130187,0.130723,0.41,1,0.05,0.01
NO2(GT),t+1h,0.084908,0.11921,28.77,1,0.01,0.01
NO2(GT),t+24h,0.145976,0.157474,7.3,1,0.05,0.01
NO2(GT),t+6h,0.110841,0.202959,45.39,1,0.05,0.01
NOx(GT),t+12h,0.121352,0.135426,10.39,1,0.01,0.01
NOx(GT),t+1h,0.079967,0.116409,31.31,1,0.01,0.01
NOx(GT),t+24h,0.136625,0.163385,16.38,1,0.01,0.01
NOx(GT),t+6h,0.10833,0.181387,40.28,1,0.01,0.01
