Pollutant,Horizon,RMSE_XGBoost,RMSE_Naive,Improvement_%,n_estimators
C6H6(GT),t+12h,0.11435839835570955,0.13181767557902113,13.245019794667234,300
C6H6(GT),t+1h,0.04820888344426079,0.05649563133655944,14.667944575983755,300
C6H6(GT),t+24h,0.1167497954411539,0.09248207981584321,-26.240451851465995,300
C6H6(GT),t+6h,0.0884111501870692,0.12740388443526118,30.60560862883713,300
CO(GT),t+12h,0.11256096788433909,0.15004449541058518,24.981607904825374,300
CO(GT),t+1h,0.053980723696546246,0.06550496228249839,17.592924542498647,300
CO(GT),t+24h,0.10973848435758074,0.10612797837808034,-3.4020302983987785,300
CO(GT),t+6h,0.09686970416833865,0.1499233535943639,35.387181619194855,300
NO2(GT),t+12h,0.13106292962077518,0.2030107432142467,35.440397121024105,300
NO2(GT),t+1h,0.09585116285055213,0.07376564694969609,-29.940110083921706,300
NO2(GT),t+24h,0.1360211396346261,0.13099813786497636,-3.8344070011339304,300
NO2(GT),t+6h,0.13199014680128188,0.20298542349333418,34.97555414090298,300
NOx(GT),t+12h,0.1370589681547277,0.1813891499091974,24.439268708553513,300
NOx(GT),t+1h,0.08273634287667797,0.0736572493937721,-12.326137016560278,300
NOx(GT),t+24h,0.12770537447849503,0.13538727589026398,5.674020221808279,300
NOx(GT),t+6h,0.1375653359578582,0.18550345007502647,25.842168486774675,300
