pollutant,horizon_h,rf_rmse,rf_mae,rf_r2,naive_rmse,n_train,n_test
CO(GT),1,0.051381166309063905,0.034782801677560836,0.8057836518625399,0.06550496228249839,7086,2223
C6H6(GT),1,0.044292279528505625,0.02952344929702119,0.8097110954879356,0.05649563133655944,7086,2223
NOx(GT),1,0.0614502634121807,0.0408872982744936,0.8139748445727086,0.0736572493937721,7086,2223
NO2(GT),1,0.06651768042041747,0.0465334076160035,0.808722126113862,0.07376564694969609,7086,2223
CO(GT),6,0.10213918062567298,0.0764826271997123,0.23269894045688322,0.1499233535943639,7086,2223
C6H6(GT),6,0.09416692434571336,0.07390059067974594,0.13997619027381214,0.12740388443526118,7086,2223
NOx(GT),6,0.14173308963302114,0.09484655141031686,0.01044175167399386,0.18550345007502647,7086,2223
NO2(GT),6,0.10939637572129894,0.0843500144037064,0.4827275755466598,0.20298542349333418,7086,2223
CO(GT),12,0.1033976378516467,0.08134418448203301,0.21428753945889634,0.15004449541058518,7086,2223
C6H6(GT),12,0.08981615032052949,0.06961526624766894,0.21787598892401738,0.13181767557902113,7086,2223
NOx(GT),12,0.13718483509916451,0.09577387195610605,0.0736624840982576,0.1813891499091974,7086,2223
NO2(GT),12,0.11530872125322392,0.08793498712100355,0.4258452995480235,0.2030107432142467,7086,2223
CO(GT),24,0.1067358669957302,0.0842116086593081,0.16560559254763174,0.10612797837808034,7086,2223
C6H6(GT),24,0.09937430267659284,0.07723809769249547,0.0470716664772175,0.09248207981584321,7086,2223
NOx(GT),24,0.12075547051220166,0.08698181848505429,0.28232904076566034,0.13538727589026398,7086,2223
NO2(GT),24,0.11568397557305017,0.08854114320100884,0.4251988156091532,0.13099813786497636,7086,2223
